LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
2143201403 - GEDUNG KOSONG CIBINONG - IDLE,2143201403,GEDUNG KOSONG CIBINONG,JAWA BARAT,TR2,"JL. RAYA JAKARTA - BOGOR KM 42, RT. 003 / 007, KEL. PABUARAN, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,254.96,AKTIF,,,ID001497
2143201404 - STO CIBINONG - POP ETC,2143201404,STO CIBINONG,JAWA BARAT,TR2,"JL. RAYA JAKARTA - BOGOR KM 42, RT. 003 / 007, KEL. PABUARAN, KAB. BOGOR",POP ETC,KAB. BOGOR,PRIANGAN BARAT,KELAS 3,207.00,AKTIF,,,ID001498
2143201405 - HALAMAN STO CIBINONG - HALAMAN,2143201405,HALAMAN STO CIBINONG,JAWA BARAT,TR2,"JL. RAYA JAKARTA - BOGOR KM 42, RT. 003 / 007, KEL. PABUARAN, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"2,372.00",AKTIF,,,ID001499
2143201501 - STO CIGUDEG - OFFICE,2143201501,STO CIGUDEG,JAWA BARAT,TR2,"JL. PASIR NANGKA NO. 1, RT. 002 / 008, KEL. CIGIDEUG, KEC. CIGUDEUG, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,224.72,AKTIF,,,ID001500
2143201502 - HALAMAN STO CIGUDEG - HALAMAN,2143201502,HALAMAN STO CIGUDEG,JAWA BARAT,TR2,"JL. PASIR NANGKA NO. 1, RT. 002 / 008, KEL. CIGIDEUG, KEC. CIGUDEUG, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,327.64,AKTIF,,,ID001501
2143201601 - STO CIJAYANTI - OFFICE,2143201601,STO CIJAYANTI,JAWA BARAT,TR2,"JL. GEGENDON NO. 10, KEL. CIJAYANTI, KEC. BABAKAN MADANG, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,452.37,AKTIF,,,ID001502
2143201602 - GUDANG CIJAYANTI - GUDANG,2143201602,GUDANG CIJAYANTI,JAWA BARAT,TR2,"JL. GEGENDON NO. 10, KEL. CIJAYANTI, KEC. BABAKAN MADANG, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,255.05,AKTIF,,,ID001503
2143201603 - HALAMAN STO CIJAYANTI - HALAMAN,2143201603,HALAMAN STO CIJAYANTI,JAWA BARAT,TR2,"JL. GEGENDON NO. 10, KEL. CIJAYANTI, KEC. BABAKAN MADANG, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"1,108.33",AKTIF,,,ID001504
2143201701 - STO CIJERUK - OFFICE,2143201701,STO CIJERUK,JAWA BARAT,TR2,"JL. SUMANTA DIREJA, CIJERUK, CILEUNGSI, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,343.18,AKTIF,,,ID001505
2143201702 - GUDANG CIJERUK - GUDANG,2143201702,GUDANG CIJERUK,JAWA BARAT,TR2,"JL. SUMANTA DIREJA, CIJERUK, CILEUNGSI, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,11.86,AKTIF,,,ID001506
2143201703 - GEDUNG KOSONG CIJERUK - IDLE,2143201703,GEDUNG KOSONG CIJERUK,JAWA BARAT,TR2,"JL. SUMANTA DIREJA, CIJERUK, CILEUNGSI, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,221.87,AKTIF,,,ID001507
2143201704 - HALAMAN STO CIJERUK - HALAMAN,2143201704,HALAMAN STO CIJERUK,JAWA BARAT,TR2,"JL. SUMANTA DIREJA, CIJERUK, CILEUNGSI, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"2,648.00",AKTIF,,,ID001508
2143201801 - STO CILEUNGSI - OFFICE,2143201801,STO CILEUNGSI,JAWA BARAT,TR2,"JL. ALTERNATIF CIBUBUR-CILEUNGSI, RT. 02 / 02, KEL. CILEUNGSI, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,805.97,AKTIF,,,ID001509
2143201802 - GUDANG CILEUNGSI - GUDANG,2143201802,GUDANG CILEUNGSI,JAWA BARAT,TR2,"JL. ALTERNATIF CIBUBUR-CILEUNGSI, RT. 02 / 02, KEL. CILEUNGSI, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,172.96,AKTIF,,,ID001510
2143201803 - GEDUNG KOSONG CILEUNGSI - IDLE,2143201803,GEDUNG KOSONG CILEUNGSI,JAWA BARAT,TR2,"JL. ALTERNATIF CIBUBUR-CILEUNGSI, RT. 02 / 02, KEL. CILEUNGSI, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,223.64,AKTIF,,,ID001511
2143201804 - HALAMAN STO / PLASA CILEUNGSI - HALAMAN,2143201804,HALAMAN STO / PLASA CILEUNGSI,JAWA BARAT,TR2,"JL. ALTERNATIF CIBUBUR-CILEUNGSI, RT. 02 / 02, KEL. CILEUNGSI, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,334.25,AKTIF,,,ID001512
2143201805 - HALAMAN STO CILEUNGSI - HALAMAN,2143201805,HALAMAN STO CILEUNGSI,JAWA BARAT,TR2,"JL. ALTERNATIF CIBUBUR-CILEUNGSI, RT. 02 / 02, KEL. CILEUNGSI, KAB. BOGOR",HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"1,919.00",AKTIF,,,ID001513
2143201901 - STO CINERE - OFFICE,2143201901,STO CINERE,JAWA BARAT,TR2,"JL. CINERE RAYA, KEL. CINERE, KEC. SAWANGAN, DEPOK KOTA",OFFICE,KOTA DEPOK,PRIANGAN BARAT,KELAS 4,756.41,AKTIF,,,ID001514
2143201902 - GEDUNG KOSONG CINERE - IDLE,2143201902,GEDUNG KOSONG CINERE,JAWA BARAT,TR2,"JL. CINERE RAYA, KEL. CINERE, KEC. SAWANGAN, DEPOK KOTA",IDLE,KOTA DEPOK,PRIANGAN BARAT,KELAS 4,84.71,AKTIF,,,ID001515
