LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3243201303 - HALAMAN STO CILAMAYA - HALAMAN,3243201303,HALAMAN STO CILAMAYA,JAWA BARAT,TR3,"KAMPUNG ALANG LANANG, RT. 02/02, KEL. SUKATANI, KEC. CILAMAYA WETAN, KAB. KARAWANG",HALAMAN,KAB. KARAWANG,KARAWANG,KELAS 6,"2,255.11",AKTIF,,,ID002126
3243201401 - STO JALAN CAGAK - OFFICE,3243201401,STO JALAN CAGAK,JAWA BARAT,TR3,"JL. RAYA BANDUNG - SUBANG, KAB. SUBANG",OFFICE,KAB. SUBANG,KARAWANG,KELAS 4,278.66,AKTIF,,,ID002127
3243201402 - GUDANG JALAN CAGAK - GUDANG,3243201402,GUDANG JALAN CAGAK,JAWA BARAT,TR3,"JL. RAYA BANDUNG - SUBANG, KAB. SUBANG",GUDANG,KAB. SUBANG,KARAWANG,KELAS 5,40.36,AKTIF,,,ID002128
3243201403 - HALAMAN STO JALAN CAGAK - HALAMAN,3243201403,HALAMAN STO JALAN CAGAK,JAWA BARAT,TR3,"JL. RAYA BANDUNG - SUBANG, KAB. SUBANG",HALAMAN,KAB. SUBANG,KARAWANG,KELAS 6,930.57,AKTIF,,,ID002129
3243201501 - STO JATISARI - OFFICE,3243201501,STO JATISARI,JAWA BARAT,TR3,"JL. JATISARI, RT. 02/04, KEL. MEKARSARI, KEC. JATISARI, KAB. KARAWANG",OFFICE,KAB. KARAWANG,KARAWANG,KELAS 4,562.41,AKTIF,,,ID002130
3243201502 - GUDANG JATISARI - GUDANG,3243201502,GUDANG JATISARI,JAWA BARAT,TR3,"JL. JATISARI, RT. 02/04, KEL. MEKARSARI, KEC. JATISARI, KAB. KARAWANG",GUDANG,KAB. KARAWANG,KARAWANG,KELAS 5,239.99,AKTIF,,,ID002131
3243201503 - HALAMAN STO JATISARI - HALAMAN,3243201503,HALAMAN STO JATISARI,JAWA BARAT,TR3,"JL. JATISARI, RT. 02/04, KEL. MEKARSARI, KEC. JATISARI, KAB. KARAWANG",HALAMAN,KAB. KARAWANG,KARAWANG,KELAS 6,"4,154.88",AKTIF,,,ID002132
3243201601 - STO KALIJATI - OFFICE,3243201601,STO KALIJATI,JAWA BARAT,TR3,JL. RAYA KALIJATI NO. 336. KAB. SUBANG,OFFICE,KAB. SUBANG,KARAWANG,KELAS 4,194.61,AKTIF,,,ID002133
3243201602 - GUDANG KALIJATI - GUDANG,3243201602,GUDANG KALIJATI,JAWA BARAT,TR3,JL. RAYA KALIJATI NO. 336. KAB. SUBANG,GUDANG,KAB. SUBANG,KARAWANG,KELAS 5,26.48,AKTIF,,,ID002134
3243201701 - STO KLARI - OFFICE,3243201701,STO KLARI,JAWA BARAT,TR3,"JL. KLARI KOSAMBI, RT. 26/07, KEL. GINTUNG KERTA, KEC. KLARI, KAB. PURWAKARTA",OFFICE,KAB. PURWAKARTA,KARAWANG,KELAS 4,710.52,AKTIF,,,ID002135
3243201801 - STO PABUARAN SUBANG - OFFICE,3243201801,STO PABUARAN SUBANG,JAWA BARAT,TR3,"JL. RAYA PABUARAN, SUBANG",OFFICE,KAB. SUBANG,KARAWANG,KELAS 4,258.98,AKTIF,,,ID002136
