label,kode_gedung,nama_lokasi,provinsi,kawasan,area,alamat_lokasi,peruntukan,kab_kota,witel,kelas_berbayar,luasan_berbayar,keterangan,histori,simpan,id
3213204703 - GT BENGAWAN 81 - OFFICE,3213204703,GT BENGAWAN 81,JAWA BARAT,BANDUNG,TR3,"JL. BENGAWAN NO. 81, BANDUNG",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,344.64,AKTIF,,,ID001934
3213204704 - GT BENGAWAN 81 - GUDANG,3213204704,GT BENGAWAN 81,JAWA BARAT,BANDUNG,TR3,"JL. BENGAWAN NO. 81, BANDUNG",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,60.41,AKTIF,,,ID001935
3213205201 - STO / PLASA GEGER KALONG - OFFICE,3213205201,STO / PLASA GEGER KALONG,JAWA BARAT,BANDUNG,TR3,"JL. GEGER KALONG HILIR NO. 55, RT. 03/01, KEL. SUKARASA, KEC. SUKASARI, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,717.78,AKTIF,,,ID001936
3213205228 - GUDANG GEDUNG POOL KBM - GUDANG,3213205228,GUDANG GEDUNG POOL KBM,JAWA BARAT,BANDUNG,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,7.50,AKTIF,,,ID001962
3213205229 - GUDANG GEDUNG AULA - GUDANG,3213205229,GUDANG GEDUNG AULA,JAWA BARAT,BANDUNG,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,26.47,AKTIF,,,ID001963
3213205231 - GEDUNG KOSONG STO GEGERKALONG - IDLE,3213205231,GEDUNG KOSONG STO GEGERKALONG,JAWA BARAT,BANDUNG,TR3,"JL. GEGER KALONG HILIR NO. 55, RT. 03/01, KEL. SUKARASA, KEC. SUKASARI, BANDUNG KOTA",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,282.80,AKTIF,,,ID001965
3223200101 - WITEL BANDUNG BARAT - OFFICE,3223200101,WITEL BANDUNG BARAT,JAWA BARAT,BANDUNG,TR3,"JL. RAJAWALI BARAT NO. 101, KAB. BANDUNG BARAT",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,"1,404.03",AKTIF,,,ID001971
3223200102 - GUDANG WITEL BANDUNG BARAT - GUDANG,3223200102,GUDANG WITEL BANDUNG BARAT,JAWA BARAT,BANDUNG,TR3,"JL. RAJAWALI BARAT NO. 101, KAB. BANDUNG BARAT",GUDANG,KAB. BANDUNG,BANDUNG,KELAS 5,17.87,AKTIF,,,ID001972
3223200103 - GEDUNG KOSONG WITEL BANDUNG BARAT - IDLE,3223200103,GEDUNG KOSONG WITEL BANDUNG BARAT,JAWA BARAT,BANDUNG,TR3,"JL. RAJAWALI BARAT NO. 101, KAB. BANDUNG BARAT",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,155.88,AKTIF,,,ID001973
3223200201 - EKS CATEL PANGALENGAN - OFFICE,3223200201,EKS CATEL PANGALENGAN,JAWA BARAT,BANDUNG,TR3,"JL. RAYA PANGALENGAN NO. 344, RT. 01/07, KEL. PANGALENGAN, KEC. PANGALENGAN, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,350.33,AKTIF,,,ID001974
